PV;GMQ;Eff_alim;col_C;pH;Qte_gras;Prop_gras;poids_carc;confo;col_lumi;ratio_C160_C180;lipide_tnr;AGMI_vs_AGPI;AGL;AGtr;n6_sur_n3;CLA;tendrete;jutosite;amere;rance_poisson;gras_vs_metal;sang_acide;intense_flav_sucre
65,6;0,081;-0,367457932;4,477717749;-0,052333333;5,704496163;5,033243025;26,13333333;0,666666667;-0,324518138;0,548761295;1,127166667;-4,396864986;0,966751506;-1,401982294;1,079333333;-0,075733333;7,073333333;9,87;-4,043333333;-0,900185945;-0,285482864;1,395880037;0,365051601
-28,4;0,161;-1,708305924;4,453264669;0,047666667;1,055992178;-1,174406751;-23,86666667;-0,333333333;-0,692231217;0,309780211;-0,592833333;0,291721522;-0,758219569;0,812362423;-1,010666667;-0,043733333;2,973333333;5,17;0,656666667;-1,290075907;-1,180672034;0,053241808;0,443198839
1,6;0,131;-0,789486021;2,277626609;0,027666667;1,492678505;-1,733831815;3,133333333;-0,333333333;0,603136552;0,234359686;-0,599833333;3,20966867;-0,708271972;2,438633827;-1,880666667;0,080266667;-2,826666667;5,07;6,056666667;-0,521113776;0,157310046;2,813513976;-0,384640732
-33,4;0,301;-1,708305924;0,715112199;0,107666667;-0,172978794;0,98355515;-28,86666667;-0,333333333;2,227495724;-0,033048242;0,227166667;-0,256294383;-0,498836703;1,018953966;-1,290666667;0,020266667;-2,826666667;-14,93;2,756666667;1,136004986;1,78402734;0,732159621;-1,356460455
17,6;0,581;-2,78624761;4,111409809;-0,132333333;-0,33696961;0,220883847;9,633333333;-0,333333333;1,573225413;-0,102151136;-0,104833333;-0,959615816;0,481284172;-1,552921761;1,499333333;-0,103733333;0,373333333;-0,93;-2,243333333;-0,791869734;1,893658586;0,882956818;-1,563410886
100,6;-0,119;1,185495715;2,907782299;-0,062333333;4,134557788;0,229349614;77,13333333;1,666666667;1,214018714;0,087850427;1,113166667;-3,176499129;-0,344171471;-0,304790782;-0,940666667;0,317266667;-11,62666667;-7,13;-2,343333333;-0,477833958;0,039414413;-1,089719442;-1,15136017
-28,4;0,061;-0,789486021;3,316498659;0,027666667;-2,314116597;-2,285072094;-7,366666667;-0,333333333;-3,664441348;-0,007440726;-1,084833333;6,149727473;-0,513304018;2,939418664;-1,680666667;-0,120733333;-16,32666667;4,47;2,356666667;-0,791861092;0,378299306;-1,254577837;-0,278865226
-48,4;0,221;-2,78624761;-1,954103551;0,027666667;-2,002291475;-1,806346206;-39,36666667;-1,333333333;-2,355427298;-0,037698064;-0,170833333;1,726071871;1,444755848;-1,709201676;2,239333333;-0,185733333;3,973333333;18,27;-2,343333333;-0,683553524;0,009402166;-0,69344366;1,258936766
-40,4;0,091;-0,789486021;-2,893895231;-0,002333333;-1,55378534;-1,834866531;-26,36666667;-1,333333333;-1,446232708;-0,148824815;-0,800833333;5,234394833;-0,846288004;3,476913842;-1,940666667;-0,097733333;1,273333333;4,57;-1,243333333;0,247822431;1,786064352;-0,702750643;1,065575397
-47,4;-0,249;-2,78624761;-1,817535061;-0,052333333;-3,06256728;-2,252459378;-26,86666667;-1,333333333;-1,991362655;-0,153873167;-0,826833333;3,260322742;0,183780469;-1,112673518;1,089333333;-0,168733333;9,373333333;4,57;-3,043333333;3,35612434;-1,417802264;2,985270003;0,231672612
-10,4;0,511;-0,367457932;-0,506632771;0,097666667;-0,65002234;-0,651686796;-13,36666667;0,666666667;1,405993473;0,395096419;0,180166667;-2,631448405;2,739029626;-1,469926349;1,139333333;-0,134733333;4,973333333;1,97;0,156666667;0,513147887;0,930607121;-1,395463719;-0,918181473
-52,4;0,181;-2,78624761;-0,840005791;0,057666667;-1,82144963;-2,013684838;-37,86666667;-0,333333333;-1,716057927;-0,066076657;0,142166667;-2,250857747;-0,603554337;-1,904889338;2,119333333;-0,128733333;3,073333333;-12,13;-0,243333333;1,06548624;-0,839595007;1,134261326;-0,985989797
-50,4;0,001;-0,367457932;-0,654068261;0,037666667;-1,256564289;1,399690206;-37,36666667;-1,333333333;-0,502155825;0,258828841;-0,186833333;-1,019186684;-0,620203537;-1,112029756;0,649333333;-0,151733333;16,27333333;3,77;0,356666667;-0,228661736;-0,450909458;1,414494004;0,691341815
-128,4;-0,089;-0,367457932;-6,413111741;0,137666667;-3,045428534;-1,66451399;-77,36666667;-0,333333333;-2,740401609;-0,092357835;-0,731833333;5,039048867;0,167131269;-1,378228206;0,969333333;-0,262733333;-4,726666667;-12,13;5,256666667;3,296596227;-0,933201624;0,836083502;0,137698654
-77,4;0,291;-0,789486021;2,673982459;0,067666667;-0,314884335;-0,833420687;-46,86666667;-0,333333333;2,534216672;-0,009091473;-0,629833333;4,499338628;-0,708271972;3,185555415;-2,240666667;0,015266667;4,273333333;-5,03;-1,943333333;1,384987086;-1,971759286;-0,273864186;-1,152972852
-19,4;0,141;-0,008783547;-2,017036721;-0,012333333;-0,607391042;-0,401413033;-14,36666667;0,666666667;0,728021874;-0,298719905;0,396166667;-0,19414523;-0,465538304;1,198635098;-1,650666667;0,197266667;-1,926666667;-2,13;-4,043333333;-1,290075907;1,48906475;-0,081955105;-0,252486912
1,6;-0,509;1,185495715;-2,207996381;-0,022333333;0,896923964;2,388089468;5,133333333;0,666666667;1,327218025;0,162525161;0,997166667;-4,612961798;-0,344171471;-2,056740223;1,919333333;-0,057733333;7,873333333;7,77;-4,043333333;-0,878507147;0,182938026;-0,107934082;1,727594451
58,6;-0,479;-0,008783547;-0,081974491;-0,012333333;1,494541158;1,902355604;43,13333333;-1,333333333;1,886422322;-0,016779078;1,659166667;-5,199824217;-0,256103036;-0,557724674;0,239333333;0,058266667;1,173333333;-5,03;3,956666667;-0,271984763;-0,88159664;-1,402361351;0,454100098
18,6;-0,199;-0,008783547;-1,502855561;-0,002333333;-1,004349826;1,200817341;19,63333333;1,666666667;0,757034947;0,041275932;0,436166667;-2,968591982;-0,482187504;-0,264248775;0,239333333;-0,022733333;2,773333333;9,47;-3,243333333;-0,856845633;0,294683845;-0,720026968;2,017142652
56,6;-0,379;2,051316778;-3,027743841;0,017666667;1,506507303;2,490980831;50,13333333;0,666666667;1,600220028;0,260291597;0,629166667;-3,637486015;-0,515485902;-3,082208164;4,379333333;-0,073733333;-16,92666667;-5,83;1,156666667;-0,683553524;0,043449655;-0,005283353;0,674852271
-69,4;-0,569;2,051316778;-4,611988301;0,007666667;-2,268041047;-2,638616318;-19,86666667;1,666666667;-1,788418624;-0,127224769;-0,666833333;-0,045562326;-0,74157037;-3,884907045;6,329333333;-0,117733333;0,273333333;-5,03;-0,243333333;-0,477816674;1,135998337;0,778162672;1,088815764
-47,4;-0,369;1,569315579;-6,320569501;0,017666667;-0,57994999;-1,13147162;-29,36666667;0,666666667;-0,644659801;-0,397884504;-0,367833333;0,923788936;-0,708271972;1,72716734;-1,670666667;-0,068733333;-25,22666667;-10,03;4,356666667;-1,290075907;-0,871566704;-1,539363285;-1,17905107
-21,4;-0,119;1,185495715;0,457357209;-0,052333333;-0,860801921;-0,237787485;-19,86666667;-0,333333333;1,844341338;0,063661914;-0,323833333;0,031205234;-0,74157037;-0,419578757;-0,550666667;-0,081733333;11,97333333;-7,83;-3,743333333;1,217108194;0,448314955;-0,203622689;-1,113480405
14,6;0,121;1,569315579;-1,330098891;-0,032333333;3,073562657;0,469300962;6,633333333;0,666666667;-0,703089473;-0,011775502;0,425166667;-1,178104131;-0,465538304;1,547582126;-1,920666667;0,407266667;-18,22666667;-12,23;0,556666667;1,17384566;0,601635821;-0,027515336;-1,599915434
33,6;-0,059;2,051316778;-0,480629271;-0,072333333;0,216227172;0,638476694;24,63333333;-1,333333333;0,526322557;-0,363492617;-0,143833333;1,418252689;0,309969741;-0,215982196;-0,710666667;0,121266667;-9,926666667;-5,43;3,556666667;-1,203429853;-1,858480602;-2,219755694;-2,40591464
46,6;-0,009;2,051316778;4,229672809;-0,042333333;-1,630617124;-0,894553728;21,63333333;0,666666667;1,092681841;-0,217090784;-0,512833333;2,158754385;-0,724921171;-0,18903855;-0,580666667;0,159266667;4,373333333;-1,33;3,256666667;1,758663321;-0,412904287;0,219171912;0,439673379
57,6;0,051;1,569315579;3,013008649;-0,022333333;1,030255134;0,818752794;40,63333333;0,666666667;-0,913777737;-0,062698194;-0,117833333;0,27391777;-0,570255939;2,100888229;-2,100666667;0,097266667;3,273333333;0,17;-1,143333333;-0,640282348;2,182897947;-0,853346397;0,684353528
50,6;0,151;1,185495715;1,617287569;-0,022333333;-0,987953585;0,291940446;27,63333333;-0,333333333;-0,190412493;-0,071432423;-0,204833333;0,978344927;6,255109904;-0,418766749;-0,290666667;0,067266667;8,273333333;3,87;0,456666667;-1,116783798;-1,734745397;0,400033479;-0,50705583
76,6;-0,279;1,569315579;2,244715949;-0,022333333;1,720498952;2,216279136;51,13333333;0,666666667;1,027296341;0,154857895;0,243166667;-0,932593309;-0,465538304;1,679698773;-1,900666667;0,230266667;6,573333333;14,57;-0,243333333;-0,033768606;0,324657311;0,346061087;2,123993279
102,6;0,351;-0,008783547;0,164808739;-0,062333333;2,143921784;1,270416149;42,63333333;-0,333333333;-0,674458969;-0,299629496;0,491166667;-1,734522389;-0,465538304;0,910029111;-1,530666667;0,125266667;10,37333333;13,57;-0,743333333;-0,721506543;-0,84370781;-1,420306497;1,445784777
